"label","new_genomes/Aameric_YS121.v1.cds.fasta","new_genomes/Abit_YS124.v1.cds.fasta","new_genomes/Cang_YS89.v1.cds.fasta","new_genomes/Ccajan.v1.cds.fasta","new_genomes/Ccin_YS129.v1.cds.fasta","new_genomes/Cens_YS85.v1.cds.fasta","new_genomes/Cmolle_YS235.v1.cds.fasta","new_genomes/Cmuc_YS125.v1.cds.fasta","new_genomes/Cros_YS43.v1.cds.fasta","new_genomes/Ctet_YS88.v1.cds.fasta","new_genomes/Duni_YS76.v1.cds.fasta","new_genomes/Eind_YS44.hap1.v1.cds.fasta","new_genomes/GmaxWm82ISU_01_724_v2.1.cds_primaryTranscriptOnly.fa","new_genomes/Gstr_YS140.v1.cds.fasta","new_genomes/HpodTM013.v1.cds.fasta","new_genomes/Isuf_YS112.v1.cds.fasta","new_genomes/Itin_YS146.v1.cds.fasta","new_genomes/Lcun_YS151.v1.cds.fasta","new_genomes/Lpur_YS149.v1.cds.fasta","new_genomes/Matro_YS75.v1.cds.fasta","new_genomes/Maxil_YS73.v1.cds.fasta","new_genomes/Mlat_YS84.v1.cds.fasta","new_genomes/Mpru_YS155.v1.cds.fasta","new_genomes/Msam_YS158.v1.cds.fasta","new_genomes/Pero_YS156.v1.cds.fasta","new_genomes/Plobssplob_YS90.hap1.v1.cds.fasta","new_genomes/Plun_YS103.v1.cds.fasta","new_genomes/Pmon_YS87.hap1.v1.cds.fasta","new_genomes/Pmonvarlob_YS172.hap1.v1.cds.fasta","new_genomes/Ptet_YS159.v1.cds.fasta","new_genomes/Rmin_YS79.v1.cds.fasta","new_genomes/Shelov_YS99.v1.cds.fasta","new_genomes/Smacrob_YS261.v1.cds.fasta","new_genomes/Tlab_YS204.v1.cds.fasta","new_genomes/Tunci_YS212.v1.cds.fasta","new_genomes/Vvexilla_YS115.hap1.v1.cds.fasta","Pvul218cds.fa","TAIR10cds.fa","Vung469cds.fa","Zmarina_668_v3.1.cds_primaryTranscriptOnly.fa"
"Plobssplob_YS90.hap1.v1.h1tg000007l.g178610.t1","0.279","1.667","0.145","1.567","1.667","0.176","1.616","1.664","0.180","1.567","0.159","0.180","0.131","0.186","1.740","1.564","1.543","1.643","0.152","0.161","0.139","0.161","0.125","0.149","0.045","","0.151","1.755","0.161","0.148","1.705","0.155","0.112","1.641","0.112","0.164","0.148","2.004","0.163","2.161"
"Ptet_YS159.v1.contig_236_pilon.g027180.t1","0.325","1.713","0.194","1.612","1.712","0.222","1.662","1.710","0.226","1.612","0.205","0.226","0.181","0.231","1.786","1.610","1.589","1.689","0.197","0.207","0.185","0.207","0.171","0.003","0.155","0.148","0.196","1.801","0.207","","1.751","0.201","0.157","1.686","0.161","0.210","0.194","2.050","0.208","2.207"
"Msam_YS158.v1.contig_905.g207840.t1","0.326","1.714","0.195","1.613","1.713","0.223","1.663","1.711","0.227","1.613","0.206","0.227","0.182","0.232","1.787","1.611","1.590","1.690","0.198","0.208","0.186","0.208","0.172","","0.156","0.149","0.197","1.802","0.208","0.003","1.752","0.202","0.158","1.687","0.162","0.211","0.195","2.051","0.209","2.208"
"Pmonvarlob_YS172.hap1.v1.h1tg000008l.g177620.t1","0.333","1.721","0.207","1.621","1.721","0.230","1.670","1.718","0.234","1.621","0.213","0.234","0.194","0.240","1.794","1.618","1.597","1.697","0.101","0.000","0.144","0.032","0.179","0.208","0.168","0.161","0.100","1.809","","0.207","1.759","0.058","0.147","1.695","0.174","0.103","0.075","2.058","0.102","2.215"
"Matro_YS75.v1.contig_63_pilon.g252480.t1","0.333","1.721","0.207","1.621","1.721","0.230","1.670","1.718","0.234","1.621","0.213","0.234","0.194","0.240","1.794","1.618","1.597","1.697","0.101","","0.144","0.032","0.179","0.208","0.168","0.161","0.100","1.809","0.000","0.207","1.759","0.058","0.147","1.695","0.174","0.103","0.075","2.058","0.102","2.215"
"Mlat_YS84.v1.contig_89_pilon.g245910.t1","0.333","1.721","0.207","1.620","1.720","0.230","1.670","1.718","0.234","1.620","0.213","0.234","0.193","0.239","1.794","1.618","1.597","1.697","0.100","0.032","0.144","","0.179","0.208","0.168","0.161","0.099","1.809","0.032","0.207","1.759","0.058","0.147","1.694","0.174","0.103","0.075","2.058","0.101","2.215"
"Shelov_YS99.v1.contig_44_pilon.g155920.t1","0.327","1.715","0.201","1.615","1.715","0.224","1.664","1.712","0.228","1.615","0.207","0.228","0.188","0.234","1.788","1.612","1.591","1.691","0.095","0.058","0.138","0.058","0.173","0.202","0.162","0.155","0.094","1.803","0.058","0.201","1.753","","0.141","1.689","0.168","0.097","0.069","2.052","0.096","2.209"
"Phvul.004G115700.1","0.320","1.708","0.195","1.608","1.708","0.217","1.657","1.705","0.222","1.608","0.200","0.222","0.181","0.227","1.781","1.605","1.585","1.684","0.088","0.075","0.131","0.075","0.166","0.195","0.156","0.148","0.087","1.796","0.075","0.194","1.746","0.069","0.134","1.682","0.161","0.090","","2.046","0.089","2.202"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g149010.t1","0.357","1.745","0.231","1.644","1.744","0.254","1.694","1.742","0.258","1.644","0.237","0.258","0.217","0.264","1.818","1.642","1.621","1.721","0.125","0.124","0.168","0.124","0.203","0.232","0.192","0.185","0.124","1.833","0.124","0.231","1.783","0.118","0.171","1.718","0.198","","0.111","2.082","0.083","2.239"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g149030.t1","0.336","1.724","0.210","1.623","1.723","0.233","1.673","1.721","0.237","1.623","0.216","0.237","0.196","0.243","1.797","1.621","1.600","1.700","0.104","0.103","0.147","0.103","0.182","0.211","0.171","0.164","0.103","1.812","0.103","0.210","1.762","0.097","0.150","1.697","0.177","","0.090","2.061","0.062","2.218"
"Vigun04g155700.1","0.335","1.722","0.209","1.622","1.722","0.232","1.672","1.719","0.236","1.622","0.215","0.236","0.195","0.241","1.796","1.619","1.599","1.699","0.102","0.102","0.146","0.101","0.181","0.209","0.170","0.163","0.101","1.810","0.102","0.208","1.760","0.096","0.149","1.696","0.176","0.062","0.089","2.060","","2.216"
"Plun_YS103.v1.contig_380_pilon.g170200.t1","0.323","1.710","0.197","1.610","1.710","0.219","1.660","1.707","0.224","1.610","0.202","0.224","0.183","0.229","1.783","1.607","1.587","1.686","0.001","0.100","0.134","0.099","0.168","0.197","0.158","0.151","","1.798","0.100","0.196","1.748","0.094","0.137","1.684","0.164","0.103","0.087","2.048","0.101","2.204"
"Lpur_YS149.v1.contig_1811_pilon.g148100.t1","0.324","1.711","0.198","1.611","1.711","0.220","1.661","1.708","0.225","1.611","0.203","0.225","0.184","0.230","1.784","1.608","1.588","1.687","","0.101","0.135","0.100","0.169","0.198","0.159","0.152","0.001","1.799","0.101","0.197","1.749","0.095","0.138","1.685","0.165","0.104","0.088","2.049","0.102","2.205"
"Maxil_YS73.v1.contig_253_pilon.g200060.t1","0.311","1.699","0.185","1.599","1.699","0.208","1.648","1.696","0.212","1.599","0.191","0.212","0.172","0.218","1.772","1.596","1.575","1.675","0.135","0.144","","0.144","0.157","0.186","0.146","0.139","0.134","1.787","0.144","0.185","1.737","0.138","0.125","1.673","0.152","0.147","0.131","2.036","0.146","2.193"
"Smacrob_YS261.v1.contig_4373_pilon.g177090.t1","0.284","1.671","0.158","1.571","1.671","0.180","1.621","1.668","0.185","1.571","0.163","0.185","0.144","0.190","1.744","1.568","1.548","1.647","0.138","0.147","0.125","0.147","0.129","0.158","0.119","0.112","0.137","1.759","0.147","0.157","1.709","0.141","","1.645","0.124","0.150","0.134","2.009","0.149","2.165"
"Mpru_YS155.v1.contig_59_pilon.g244910.t1","0.291","1.678","0.173","1.578","1.678","0.188","1.628","1.675","0.192","1.578","0.170","0.192","0.159","0.197","1.751","1.575","1.555","1.655","0.171","0.181","0.159","0.181","","0.174","0.134","0.127","0.170","1.766","0.181","0.173","1.716","0.175","0.131","1.652","0.140","0.184","0.168","2.016","0.183","2.172"
"Mpru_YS155.v1.contig_59_pilon.g245050.t1","0.289","1.676","0.171","1.576","1.676","0.185","1.626","1.673","0.190","1.576","0.168","0.190","0.157","0.195","1.749","1.573","1.553","1.652","0.169","0.179","0.157","0.179","","0.172","0.132","0.125","0.168","1.764","0.179","0.171","1.714","0.173","0.129","1.650","0.138","0.182","0.166","2.014","0.181","2.170"
"Duni_YS76.v1.contig_728_pilon.g242910.t1","0.316","1.703","0.205","1.603","1.703","0.213","1.653","1.700","0.217","1.603","","0.217","0.191","0.222","1.777","1.600","1.580","1.680","0.203","0.213","0.191","0.213","0.168","0.206","0.166","0.159","0.202","1.791","0.213","0.205","1.741","0.207","0.163","1.677","0.172","0.216","0.200","2.041","0.215","2.197"
"Eind_YS44.hap1.v1.h1tg000014l.g167180.t1","0.287","1.675","0.226","1.575","1.674","0.009","1.624","1.672","0.002","1.575","0.217","","0.213","0.074","1.748","1.572","1.551","1.651","0.225","0.234","0.212","0.234","0.190","0.227","0.187","0.180","0.224","1.763","0.234","0.226","1.713","0.228","0.185","1.649","0.193","0.237","0.222","2.012","0.236","2.169"
"Cros_YS43.v1.contig_2474_pilon.g096050.t1","0.287","1.675","0.226","1.575","1.674","0.009","1.624","1.672","","1.575","0.217","0.002","0.213","0.074","1.748","1.572","1.551","1.651","0.225","0.234","0.212","0.234","0.190","0.227","0.187","0.180","0.224","1.763","0.234","0.226","1.713","0.228","0.185","1.649","0.193","0.237","0.222","2.012","0.236","2.169"
"Cens_YS85.v1.contig_627_pilon.g207960.t1","0.283","1.670","0.222","1.570","1.670","","1.620","1.667","0.009","1.570","0.213","0.009","0.208","0.069","1.744","1.567","1.547","1.647","0.220","0.230","0.208","0.230","0.185","0.223","0.183","0.176","0.219","1.758","0.230","0.222","1.708","0.224","0.180","1.644","0.189","0.233","0.217","2.008","0.232","2.164"
"Gstr_YS140.v1.contig_994_pilon.g315840.t1","0.293","1.680","0.232","1.580","1.680","0.069","1.630","1.677","0.074","1.580","0.222","0.074","0.218","","1.753","1.577","1.557","1.656","0.230","0.240","0.218","0.239","0.195","0.232","0.193","0.186","0.229","1.768","0.240","0.231","1.718","0.234","0.190","1.654","0.199","0.243","0.227","2.018","0.241","2.174"
"Mpru_YS155.v1.contig_59_pilon.g245160.t1","0.305","1.692","0.300","1.592","1.692","0.257","1.642","1.689","0.261","1.592","0.290","0.261","0.286","0.267","1.766","1.589","1.569","1.669","0.298","0.307","0.285","0.307","","0.300","0.261","0.253","0.297","1.780","0.307","0.299","1.730","0.301","0.258","1.666","0.266","0.310","0.295","2.030","0.309","2.186"
"Mpru_YS155.v1.contig_59_pilon.g245320.t1","0.303","1.690","0.297","1.590","1.690","0.255","1.639","1.687","0.259","1.590","0.288","0.259","0.283","0.264","1.763","1.587","1.567","1.666","0.296","0.305","0.283","0.305","","0.298","0.258","0.251","0.295","1.778","0.305","0.297","1.728","0.299","0.255","1.664","0.264","0.308","0.292","2.028","0.307","2.184"
"Mpru_YS155.v1.contig_59_pilon.g245030.t1","0.287","1.675","0.282","1.574","1.674","0.239","1.624","1.672","0.244","1.574","0.272","0.244","0.268","0.249","1.748","1.572","1.551","1.651","0.280","0.290","0.268","0.289","","0.282","0.243","0.236","0.279","1.763","0.290","0.281","1.713","0.284","0.240","1.648","0.249","0.292","0.277","2.012","0.291","2.169"
"Aameric_YS121.v1.contig_317_pilon.g139170.t1","","1.625","0.325","1.525","1.624","0.283","1.574","1.622","0.287","1.525","0.316","0.287","0.312","0.293","1.698","1.522","1.501","1.601","0.324","0.333","0.311","0.333","0.287","0.326","0.286","0.279","0.323","1.713","0.333","0.325","1.663","0.327","0.284","1.598","0.292","0.336","0.320","1.962","0.335","2.119"
"Aameric_YS121.v1.contig_317_pilon.g142030.t1","","1.719","0.582","1.619","1.719","0.540","1.669","1.716","0.544","1.619","0.573","0.544","0.568","0.549","1.792","1.616","1.596","1.695","0.580","0.590","0.568","0.590","0.544","0.583","0.543","0.536","0.579","1.807","0.590","0.582","1.757","0.584","0.540","1.693","0.549","0.593","0.577","2.057","0.592","2.213"
"Ptet_YS159.v1.contig_769_pilon.g240580.t1","1.648","0.349","0.309","0.589","0.324","0.460","1.724","1.772","0.454","0.589","1.815","0.454","0.862","1.595","1.848","0.608","0.591","1.751","0.381","0.369","1.433","0.376","0.359","0.363","0.274","1.775","0.381","1.863","0.369","","1.813","0.378","0.381","1.749","0.868","1.103","0.428","2.484","0.383","2.640"
"Ptet_YS159.v1.contig_530_pilon.g222800.t1","1.594","0.295","0.255","0.535","0.270","0.406","1.670","1.718","0.400","0.535","1.761","0.400","0.808","1.541","1.794","0.554","0.537","1.697","0.327","0.315","1.379","0.322","0.305","0.309","0.220","1.721","0.327","1.809","0.315","","1.759","0.324","0.327","1.695","0.814","1.049","0.374","2.430","0.329","2.586"
"Ptet_YS159.v1.contig_530_pilon.g222810.t1","1.579","0.280","0.240","0.520","0.255","0.391","1.655","1.702","0.385","0.520","1.745","0.385","0.793","1.526","1.779","0.539","0.522","1.682","0.312","0.300","1.363","0.306","0.290","0.294","0.205","1.706","0.312","1.794","0.300","","1.744","0.309","0.312","1.679","0.799","1.034","0.358","2.415","0.313","2.571"
"Ccin_YS129.v1.contig_591_pilon.g128810.t1","1.576","0.074","0.237","0.517","","0.389","1.652","1.700","0.382","0.517","1.743","0.382","0.790","1.523","1.776","0.536","0.519","1.679","0.309","0.298","1.361","0.304","0.287","0.291","0.203","1.703","0.309","1.791","0.298","0.255","1.741","0.306","0.309","1.677","0.796","1.032","0.356","2.412","0.311","2.569"
"Abit_YS124.v1.contig_38_pilon.g087310.t1","1.601","","0.262","0.542","0.074","0.413","1.677","1.725","0.407","0.542","1.768","0.407","0.815","1.548","1.801","0.561","0.544","1.704","0.334","0.322","1.386","0.329","0.312","0.316","0.227","1.728","0.334","1.816","0.322","0.280","1.766","0.331","0.334","1.702","0.821","1.056","0.381","2.437","0.336","2.593"
"Pero_YS156.v1.contig_502_pilon.g295230.t1","1.505","0.227","0.166","0.446","0.203","0.317","1.581","1.629","0.311","0.446","1.672","0.311","0.719","1.452","1.705","0.465","0.448","1.608","0.238","0.226","1.290","0.233","0.216","0.220","","1.632","0.238","1.720","0.226","0.205","1.670","0.235","0.238","1.606","0.725","0.960","0.285","2.341","0.240","2.497"
"Cang_YS89.v1.contig_1202_pilon.g029280.t1","1.515","0.262","","0.456","0.237","0.327","1.591","1.638","0.321","0.456","1.681","0.321","0.729","1.462","1.715","0.475","0.458","1.618","0.248","0.236","1.299","0.242","0.226","0.230","0.166","1.642","0.248","1.729","0.236","0.220","1.680","0.245","0.248","1.615","0.735","0.970","0.294","2.351","0.249","2.507"
"Cang_YS89.v1.contig_3799_pilon.g395570.t1","1.529","0.276","","0.470","0.251","0.341","1.605","1.652","0.335","0.470","1.695","0.335","0.743","1.476","1.728","0.488","0.471","1.631","0.261","0.250","1.313","0.256","0.240","0.244","0.180","1.655","0.261","1.743","0.250","0.234","1.693","0.259","0.262","1.629","0.748","0.984","0.308","2.364","0.263","2.521"
"Pero_YS156.v1.contig_5093_pilon.g297190.t1","1.595","0.371","0.285","0.536","0.346","0.407","1.671","1.718","0.401","0.536","1.761","0.401","0.809","1.542","1.795","0.554","0.538","1.698","0.328","0.316","1.379","0.322","0.306","0.055","","1.722","0.328","1.809","0.316","0.068","1.759","0.325","0.328","1.695","0.814","1.050","0.374","2.431","0.329","2.587"
"Msam_YS158.v1.contig_752.g167280.t1","1.540","0.316","0.230","0.481","0.291","0.352","1.616","1.664","0.346","0.481","1.707","0.346","0.754","1.487","1.740","0.500","0.483","1.643","0.273","0.261","1.325","0.268","0.251","","0.055","1.667","0.273","1.755","0.261","0.014","1.705","0.270","0.273","1.641","0.760","0.995","0.320","2.376","0.275","2.532"
"Ptet_YS159.v1.contig_530_pilon.g222820.t1","1.530","0.306","0.220","0.471","0.281","0.342","1.606","1.654","0.336","0.471","1.697","0.336","0.744","1.477","1.730","0.490","0.473","1.633","0.263","0.251","1.315","0.258","0.241","0.014","0.068","1.657","0.263","1.745","0.251","","1.695","0.260","0.263","1.631","0.750","0.985","0.310","2.366","0.265","2.522"
"Pmonvarlob_YS172.hap1.v1.h1tg000024l.g262880.t1","1.504","0.322","0.236","0.445","0.298","0.316","1.580","1.628","0.310","0.445","1.671","0.310","0.718","1.451","1.704","0.464","0.447","1.607","0.089","0.000","1.289","0.023","0.215","0.261","0.226","1.631","0.089","1.719","","0.251","1.669","0.051","0.180","1.605","0.724","0.959","0.096","2.340","0.078","2.496"
"Pmonvarlob_YS172.hap1.v1.h1tg000024l.g262890.t1","1.504","0.322","0.236","0.445","0.298","0.316","1.580","1.628","0.310","0.445","1.671","0.310","0.718","1.451","1.704","0.464","0.447","1.607","0.089","0.000","1.289","0.023","0.215","0.261","0.226","1.631","0.089","1.719","","0.251","1.669","0.051","0.180","1.605","0.724","0.959","0.096","2.340","0.078","2.496"
"Matro_YS75.v1.contig_446_pilon.g177110.t1","1.504","0.322","0.236","0.445","0.298","0.316","1.580","1.628","0.310","0.445","1.671","0.310","0.718","1.451","1.704","0.464","0.447","1.607","0.089","","1.289","0.023","0.215","0.261","0.226","1.631","0.089","1.719","0.000","0.251","1.669","0.051","0.180","1.605","0.724","0.959","0.096","2.340","0.078","2.496"
"Mlat_YS84.v1.contig_399_pilon.g235090.t1","1.511","0.329","0.242","0.452","0.304","0.323","1.587","1.634","0.316","0.452","1.677","0.316","0.725","1.457","1.710","0.470","0.453","1.613","0.096","0.023","1.295","","0.221","0.268","0.233","1.637","0.096","1.725","0.023","0.258","1.675","0.058","0.187","1.611","0.730","0.966","0.103","2.346","0.085","2.503"
"Phvul.006G003400.1","1.563","0.381","0.294","0.504","0.356","0.375","1.638","1.686","0.368","0.504","1.729","0.368","0.777","1.509","1.762","0.522","0.505","1.665","0.148","0.096","1.347","0.103","0.273","0.320","0.285","1.689","0.148","1.777","0.096","0.310","1.727","0.110","0.239","1.663","0.782","1.018","","2.398","0.137","2.555"
"Shelov_YS99.v1.contig_110_pilon.g024020.t1","1.513","0.331","0.245","0.454","0.306","0.325","1.589","1.636","0.319","0.454","1.679","0.319","0.727","1.460","1.713","0.473","0.456","1.616","0.098","0.051","1.297","0.058","0.224","0.270","0.235","1.640","0.098","1.728","0.051","0.260","1.678","","0.189","1.613","0.733","0.968","0.110","2.349","0.087","2.505"
"Vigun06g004900.1","1.518","0.336","0.249","0.459","0.311","0.330","1.593","1.641","0.323","0.459","1.684","0.323","0.732","1.464","1.717","0.477","0.460","1.620","0.103","0.078","1.302","0.085","0.228","0.275","0.240","1.644","0.103","1.732","0.078","0.265","1.682","0.087","0.194","1.618","0.737","0.973","0.137","2.353","","2.510"
"Plun_YS103.v1.contig_342_pilon.g158700.t1","1.516","0.334","0.248","0.457","0.309","0.328","1.592","1.639","0.322","0.457","1.682","0.322","0.730","1.463","1.715","0.475","0.458","1.619","0.000","0.089","1.300","0.096","0.227","0.273","0.238","1.642","","1.730","0.089","0.263","1.680","0.098","0.192","1.616","0.735","0.971","0.148","2.352","0.103","2.508"
"Lpur_YS149.v1.contig_74_pilon.g199380.t1","1.516","0.334","0.248","0.457","0.309","0.328","1.592","1.639","0.322","0.457","1.682","0.322","0.730","1.463","1.715","0.475","0.458","1.619","","0.089","1.300","0.096","0.227","0.273","0.238","1.642","0.000","1.730","0.089","0.263","1.680","0.098","0.192","1.616","0.735","0.971","0.148","2.352","0.103","2.508"
"Smacrob_YS261.v1.contig_2085_pilon.g059400.t1","1.516","0.334","0.248","0.457","0.309","0.328","1.592","1.640","0.322","0.457","1.683","0.322","0.730","1.463","1.716","0.476","0.459","1.619","0.192","0.180","1.301","0.187","0.227","0.273","0.238","1.643","0.192","1.731","0.180","0.263","1.681","0.189","","1.616","0.736","0.971","0.239","2.352","0.194","2.508"
"Mpru_YS155.v1.contig_221_pilon.g158980.t1","1.449","0.312","0.226","0.390","0.287","0.261","1.525","1.573","0.255","0.390","1.616","0.255","0.663","1.396","1.649","0.409","0.392","1.552","0.227","0.215","1.234","0.221","","0.251","0.216","1.576","0.227","1.664","0.215","0.241","1.614","0.224","0.227","1.549","0.669","0.904","0.273","2.285","0.228","2.441"
"Mpru_YS155.v1.contig_221_pilon.g158970.t1","1.485","0.347","0.261","0.426","0.323","0.297","1.560","1.608","0.290","0.426","1.651","0.290","0.699","1.431","1.684","0.444","0.427","1.587","0.262","0.250","1.269","0.257","","0.286","0.251","1.611","0.262","1.699","0.250","0.276","1.649","0.259","0.262","1.585","0.704","0.940","0.309","2.320","0.264","2.477"
"Eind_YS44.hap1.v1.h1tg000023l.g212680.t1","1.443","0.407","0.321","0.384","0.382","0.006","1.519","1.566","0.000","0.384","1.609","","0.657","1.390","1.642","0.402","0.385","1.545","0.322","0.310","1.227","0.316","0.255","0.346","0.311","1.569","0.322","1.657","0.310","0.336","1.607","0.319","0.322","1.543","0.662","0.898","0.368","2.279","0.323","2.435"
"Cros_YS43.v1.contig_283_pilon.g142590.t1","1.443","0.407","0.321","0.384","0.382","0.006","1.519","1.566","","0.384","1.609","0.000","0.657","1.390","1.642","0.402","0.385","1.545","0.322","0.310","1.227","0.316","0.255","0.346","0.311","1.569","0.322","1.657","0.310","0.336","1.607","0.319","0.322","1.543","0.662","0.898","0.368","2.279","0.323","2.435"
"Cens_YS85.v1.contig_492_pilon.g193610.t1","1.449","0.413","0.327","0.390","0.389","","1.525","1.573","0.006","0.390","1.616","0.006","0.663","1.396","1.649","0.409","0.392","1.552","0.328","0.316","1.234","0.323","0.261","0.352","0.317","1.576","0.328","1.664","0.316","0.342","1.614","0.325","0.328","1.549","0.669","0.904","0.375","2.285","0.330","2.441"
"Itin_YS146.v1.contig_71_pilon.g170850.t1","1.435","0.544","0.458","0.211","0.519","0.392","1.511","1.558","0.385","0.211","1.601","0.385","0.649","1.382","1.634","0.031","","1.537","0.458","0.447","1.219","0.453","0.392","0.483","0.448","1.561","0.458","1.649","0.447","0.473","1.599","0.456","0.459","1.535","0.654","0.890","0.505","2.270","0.460","2.427"
"Isuf_YS112.v1.contig_2299_pilon.g048770.t1","1.452","0.561","0.475","0.228","0.536","0.409","1.527","1.575","0.402","0.228","1.618","0.402","0.666","1.398","1.651","","0.031","1.554","0.475","0.464","1.236","0.470","0.409","0.500","0.465","1.578","0.475","1.666","0.464","0.490","1.616","0.473","0.476","1.552","0.671","0.907","0.522","2.287","0.477","2.444"
"Ctet_YS88.v1.contig_68_pilon.g170590.t1","1.433","0.542","0.456","0.000","0.517","0.390","1.509","1.556","0.384","","1.599","0.384","0.647","1.380","1.633","0.228","0.211","1.536","0.457","0.445","1.217","0.452","0.390","0.481","0.446","1.560","0.457","1.648","0.445","0.471","1.598","0.454","0.457","1.533","0.653","0.888","0.504","2.269","0.459","2.425"
"Ccajan.v1.contig_1766_pilon.g204030.t1","1.433","0.542","0.456","","0.517","0.390","1.509","1.556","0.384","0.000","1.599","0.384","0.647","1.380","1.633","0.228","0.211","1.536","0.457","0.445","1.217","0.452","0.390","0.481","0.446","1.560","0.457","1.648","0.445","0.471","1.598","0.454","0.457","1.533","0.653","0.888","0.504","2.269","0.459","2.425"
"Pmonvarlob_YS172.hap1.v1.h1tg000024l.g263070.t1","1.621","0.479","0.428","0.633","0.498","0.799","1.697","1.745","0.793","0.634","1.788","0.793","0.437","1.568","1.821","0.802","0.785","1.724","0.186","0.000","1.406","0.066","0.327","0.891","0.856","1.748","0.186","1.836","","0.881","1.786","0.105","0.866","1.722","0.319","0.703","0.173","2.457","0.184","2.613"
"Matro_YS75.v1.contig_446_pilon.g176920.t1","1.621","0.479","0.428","0.633","0.498","0.799","1.697","1.745","0.793","0.634","1.788","0.793","0.437","1.568","1.821","0.802","0.785","1.724","0.186","","1.406","0.066","0.327","0.891","0.856","1.748","0.186","1.836","0.000","0.881","1.786","0.105","0.866","1.722","0.319","0.703","0.173","2.457","0.184","2.613"
"Mlat_YS84.v1.contig_399_pilon.g235270.t1","1.630","0.487","0.436","0.641","0.506","0.808","1.706","1.753","0.802","0.642","1.796","0.802","0.445","1.577","1.829","0.810","0.793","1.732","0.194","0.066","1.414","","0.336","0.899","0.864","1.756","0.194","1.844","0.066","0.889","1.794","0.114","0.875","1.730","0.328","0.712","0.181","2.465","0.192","2.622"
"Shelov_YS99.v1.contig_110_pilon.g023790.t1","1.603","0.460","0.410","0.615","0.480","0.781","1.679","1.727","0.775","0.616","1.770","0.775","0.419","1.550","1.803","0.784","0.767","1.706","0.168","0.105","1.387","0.114","0.309","0.872","0.837","1.730","0.168","1.818","0.105","0.862","1.768","","0.848","1.703","0.301","0.685","0.154","2.439","0.165","2.595"
"Phvul.006G001500.1","1.647","0.504","0.453","0.658","0.523","0.825","1.723","1.770","0.818","0.659","1.813","0.818","0.462","1.593","1.846","0.827","0.810","1.749","0.211","0.173","1.431","0.181","0.353","0.916","0.881","1.773","0.211","1.861","0.173","0.906","1.811","0.154","0.892","1.747","0.344","0.729","","2.482","0.209","2.639"
"Vigun01g007400.1","1.613","0.471","0.420","0.625","0.490","0.791","1.689","1.737","0.785","0.626","1.780","0.785","0.429","1.560","1.813","0.794","0.777","1.716","0.178","0.184","1.398","0.192","0.319","0.883","0.848","1.740","0.178","1.828","0.184","0.873","1.778","0.165","0.858","1.714","0.311","0.695","0.209","2.449","","2.605"
"Plun_YS103.v1.contig_511_pilon.g171790.t1","1.566","0.423","0.372","0.577","0.443","0.744","1.642","1.689","0.738","0.579","1.732","0.738","0.381","1.513","1.766","0.747","0.730","1.669","0.000","0.186","1.350","0.194","0.272","0.835","0.800","1.693","","1.781","0.186","0.825","1.731","0.168","0.811","1.666","0.264","0.648","0.211","2.402","0.178","2.558"
"Lpur_YS149.v1.contig_656_pilon.g197890.t1","1.566","0.423","0.372","0.577","0.443","0.744","1.642","1.689","0.738","0.579","1.732","0.738","0.381","1.513","1.766","0.747","0.730","1.669","","0.186","1.350","0.194","0.272","0.835","0.800","1.693","0.000","1.781","0.186","0.825","1.731","0.168","0.811","1.666","0.264","0.648","0.211","2.402","0.178","2.558"
"Tunci_YS212.v1.contig_168_pilon.g090460.t1","1.529","0.387","0.336","0.541","0.406","0.708","1.605","1.653","0.701","0.542","1.696","0.701","0.345","1.476","1.729","0.710","0.693","1.632","0.264","0.319","1.314","0.328","0.236","0.799","0.764","1.656","0.264","1.744","0.319","0.789","1.694","0.301","0.775","1.630","","0.612","0.344","2.365","0.311","2.522"
"Mpru_YS155.v1.contig_221_pilon.g159240.t1","1.484","0.341","0.290","0.495","0.361","0.662","1.560","1.607","0.656","0.496","1.650","0.656","0.299","1.431","1.684","0.664","0.648","1.587","0.272","0.327","1.268","0.336","","0.753","0.718","1.610","0.272","1.698","0.327","0.743","1.648","0.309","0.729","1.584","0.236","0.566","0.353","2.320","0.319","2.476"
"Mpru_YS155.v1.contig_221_pilon.g158960.t1","1.460","0.317","0.266","0.471","0.337","0.638","1.536","1.583","0.632","0.473","1.626","0.632","0.275","1.407","1.660","0.641","0.624","1.563","0.331","0.387","1.244","0.395","","0.729","0.694","1.587","0.331","1.675","0.387","0.719","1.625","0.368","0.705","1.560","0.281","0.542","0.412","2.296","0.379","2.452"
"GmISU01.09G227100","1.502","0.209","0.128","0.514","0.228","0.680","1.578","1.626","0.674","0.515","1.669","0.674","","1.449","1.702","0.683","0.666","1.605","0.399","0.454","1.287","0.463","0.293","0.772","0.737","1.629","0.399","1.717","0.454","0.762","1.667","0.436","0.747","1.603","0.148","0.584","0.479","2.338","0.446","2.494"
"GmISU01.09G227000","1.485","0.192","0.110","0.496","0.211","0.663","1.561","1.608","0.657","0.498","1.651","0.657","","1.432","1.685","0.666","0.649","1.588","0.381","0.437","1.269","0.445","0.275","0.754","0.719","1.612","0.381","1.699","0.437","0.744","1.649","0.419","0.730","1.585","0.130","0.567","0.462","2.321","0.429","2.477"
